Scotland,Wales,5,2,British Championship,Aberdeen,Scotland,FALSE,Scotland,1900-02-03
Wales,Northern Ireland,2,0,British Championship,Llandudno,Wales,FALSE,Wales,1900-02-24
Northern Ireland,Scotland,0,3,British Championship,Belfast,Republic of Ireland,FALSE,Scotland,1900-03-03
Northern Ireland,England,0,2,British Championship,Dublin,Republic of Ireland,FALSE,England,1900-03-17
Wales,England,1,1,British Championship,Cardiff,Wales,FALSE,DRAW,1900-03-26
Scotland,England,4,1,British Championship,Glasgow,Scotland,FALSE,Scotland,1900-04-07
Scotland,Northern Ireland,11,0,British Championship,Glasgow,Scotland,FALSE,Scotland,1901-02-23
Wales,Scotland,1,1,British Championship,Wrexham,Wales,FALSE,DRAW,1901-03-02
England,Northern Ireland,3,0,British Championship,Southampton,England,FALSE,England,1901-03-09
England,Wales,6,0,British Championship,Newcastle,England,FALSE,England,1901-03-18
Northern Ireland,Wales,0,1,British Championship,Belfast,Republic of Ireland,FALSE,Wales,1901-03-23
England,Scotland,2,2,British Championship,London,England,FALSE,DRAW,1901-03-30
Wales,Northern Ireland,0,3,British Championship,Cardiff,Wales,FALSE,Northern Ireland,1902-02-22
Northern Ireland,Scotland,1,5,British Championship,Belfast,Republic of Ireland,FALSE,Scotland,1902-03-01
Wales,England,0,0,British Championship,Wrexham,Wales,FALSE,DRAW,1902-03-03
Scotland,Wales,5,1,British Championship,Greenock,Scotland,FALSE,Scotland,1902-03-15
Northern Ireland,England,0,1,British Championship,Belfast,Republic of Ireland,FALSE,England,1902-03-22
England,Scotland,2,2,British Championship,Birmingham,England,FALSE,DRAW,1902-05-03
Uruguay,Argentina,0,6,Friendly,Montevideo,Uruguay,FALSE,Argentina,1902-07-20
Austria,Hungary,5,0,Friendly,Vienna,Austria,FALSE,Austria,1902-10-12
England,Northern Ireland,4,0,British Championship,Wolverhampton,England,FALSE,England,1903-02-14
England,Wales,2,1,British Championship,Portsmouth,England,FALSE,England,1903-03-02
Wales,Scotland,0,1,British Championship,Cardiff,Wales,FALSE,Scotland,1903-03-09
Scotland,Northern Ireland,0,2,British Championship,Glasgow,Scotland,FALSE,Northern Ireland,1903-03-21
Northern Ireland,Wales,2,0,British Championship,Belfast,Republic of Ireland,FALSE,Northern Ireland,1903-03-28
England,Scotland,1,2,British Championship,Sheffield,England,FALSE,Scotland,1903-04-04
Hungary,Czechoslovakia,2,1,Friendly,Budapest,Hungary,FALSE,Hungary,1903-04-05
Hungary,Austria,3,2,Friendly,Budapest,Hungary,FALSE,Hungary,1903-06-11
Argentina,Uruguay,2,3,Friendly,Buenos Aires,Argentina,FALSE,Uruguay,1903-09-13
Austria,Hungary,4,2,Friendly,Vienna,Austria,FALSE,Austria,1903-10-11
Wales,England,2,2,British Championship,Wrexham,Wales,FALSE,DRAW,1904-02-29
Northern Ireland,England,1,3,British Championship,Belfast,Republic of Ireland,FALSE,England,1904-03-12
Scotland,Wales,1,1,British Championship,Dundee,Scotland,FALSE,DRAW,1904-03-12
Wales,Northern Ireland,0,1,British Championship,Bangor,Wales,FALSE,Northern Ireland,1904-03-21
Northern Ireland,Scotland,1,1,British Championship,Dublin,Republic of Ireland,FALSE,DRAW,1904-03-26
Scotland,England,0,1,British Championship,Glasgow,Scotland,FALSE,England,1904-04-09
Belgium,France,3,3,Friendly,Brussels,Belgium,FALSE,DRAW,1904-05-01
Hungary,Austria,3,0,Friendly,Budapest,Hungary,FALSE,Hungary,1904-06-02
Austria,Hungary,5,4,Friendly,Vienna,Austria,FALSE,Austria,1904-10-09
France,Switzerland,1,0,Friendly,Paris,France,FALSE,France,1905-02-12
England,Northern Ireland,1,1,British Championship,Middlesbrough,England,FALSE,DRAW,1905-02-25
Wales,Scotland,3,1,British Championship,Wrexham,Wales,FALSE,Wales,1905-03-06
Scotland,Northern Ireland,4,0,British Championship,Glasgow,Scotland,FALSE,Scotland,1905-03-18
England,Wales,3,1,British Championship,Liverpool,England,FALSE,England,1905-03-27
England,Scotland,1,0,British Championship,London,England,FALSE,England,1905-04-01
Northern Ireland,Wales,2,2,British Championship,Belfast,Republic of Ireland,FALSE,DRAW,1905-04-08
Hungary,Austria,0,0,Friendly,Budapest,Hungary,FALSE,DRAW,1905-04-09
Belgium,Netherlands,1,4,Friendly,Antwerp,Belgium,FALSE,Netherlands,1905-04-30
Belgium,France,7,0,Friendly,Brussels,Belgium,FALSE,Belgium,1905-05-07
Netherlands,Belgium,4,0,Friendly,Rotterdam,Netherlands,FALSE,Netherlands,1905-05-14
Argentina,Uruguay,0,0,Copa Lipton,Buenos Aires,Argentina,FALSE,DRAW,1905-08-15
Northern Ireland,England,0,5,British Championship,Belfast,Republic of Ireland,FALSE,England,1906-02-17
Scotland,Wales,0,2,British Championship,Edinburgh,Scotland,FALSE,Wales,1906-03-03
Northern Ireland,Scotland,0,1,British Championship,Dublin,Republic of Ireland,FALSE,Scotland,1906-03-17
Wales,England,0,1,British Championship,Cardiff,Wales,FALSE,England,1906-03-19
Hungary,Czechoslovakia,1,1,Friendly,Budapest,Hungary,FALSE,DRAW,1906-04-01
Wales,Northern Ireland,4,4,British Championship,Wrexham,Wales,FALSE,DRAW,1906-04-02
Scotland,England,2,1,British Championship,Glasgow,Scotland,FALSE,Scotland,1906-04-07
France,Belgium,0,5,Friendly,Saint-Cloud,France,FALSE,Belgium,1906-04-22
Belgium,Netherlands,5,0,Friendly,Antwerp,Belgium,FALSE,Belgium,1906-04-29
Netherlands,Belgium,2,3,Friendly,Rotterdam,Netherlands,FALSE,Belgium,1906-05-13
Uruguay,Argentina,0,2,Copa Lipton,Montevideo,Uruguay,FALSE,Argentina,1906-08-15
Czechoslovakia,Hungary,4,4,Friendly,Prague,Bohemia,FALSE,DRAW,1906-10-07
Argentina,Uruguay,2,1,Copa Newton,Buenos Aires,Argentina,FALSE,Argentina,1906-10-21
Hungary,Austria,3,1,Friendly,Budapest,Hungary,FALSE,Hungary,1906-11-04
England,Northern Ireland,1,0,British Championship,Liverpool,England,FALSE,England,1907-02-16
Northern Ireland,Wales,2,3,British Championship,Belfast,Republic of Ireland,FALSE,Wales,1907-02-23
Wales,Scotland,1,0,British Championship,Wrexham,Wales,FALSE,Wales,1907-03-04
Scotland,Northern Ireland,3,0,British Championship,Glasgow,Scotland,FALSE,Scotland,1907-03-16
England,Wales,1,1,British Championship,London,England,FALSE,DRAW,1907-03-18
England,Scotland,1,1,British Championship,Newcastle,England,FALSE,DRAW,1907-04-06
Hungary,Czechoslovakia,5,2,Friendly,Budapest,Hungary,FALSE,Hungary,1907-04-07
Belgium,Netherlands,1,3,Friendly,Antwerp,Belgium,FALSE,Netherlands,1907-04-14
Belgium,France,1,2,Friendly,Brussels,Belgium,FALSE,France,1907-04-21
Austria,Hungary,3,1,Friendly,Vienna,Austria,FALSE,Austria,1907-05-05
Netherlands,Belgium,1,2,Friendly,Haarlem,Netherlands,FALSE,Belgium,1907-05-09
Czechoslovakia,Hungary,5,3,Friendly,Prague,Bohemia,FALSE,Czechoslovakia,1907-10-06
Hungary,Austria,4,1,Friendly,Budapest,Hungary,FALSE,Hungary,1907-11-03
Northern Ireland,England,1,3,British Championship,Belfast,Republic of Ireland,FALSE,England,1908-02-15
Scotland,Wales,2,1,British Championship,Dundee,Scotland,FALSE,Scotland,1908-03-07
Switzerland,France,1,2,Friendly,Geneva,Switzerland,FALSE,France,1908-03-08
Northern Ireland,Scotland,0,5,British Championship,Dublin,Republic of Ireland,FALSE,Scotland,1908-03-14
Wales,England,1,7,British Championship,Wrexham,Wales,FALSE,England,1908-03-16
Belgium,Netherlands,1,4,Friendly,Antwerp,Belgium,FALSE,Netherlands,1908-03-29
Scotland,England,1,1,British Championship,Glasgow,Scotland,FALSE,DRAW,1908-04-04
Hungary,Czechoslovakia,5,2,Friendly,Budapest,Hungary,FALSE,Hungary,1908-04-05
Switzerland,Germany,5,3,Friendly,Basel,Switzerland,FALSE,Switzerland,1908-04-05
Wales,Northern Ireland,0,1,British Championship,Aberdare,Wales,FALSE,Northern Ireland,1908-04-11
France,Belgium,1,2,Friendly,Colombes,France,FALSE,Belgium,1908-04-12
Netherlands,Belgium,3,1,Friendly,Rotterdam,Netherlands,FALSE,Netherlands,1908-04-26
Austria,Hungary,4,0,Friendly,Vienna,Austria,FALSE,Austria,1908-05-03
Netherlands,France,4,1,Friendly,Rotterdam,Netherlands,FALSE,Netherlands,1908-05-10
Austria,England,1,6,Friendly,Vienna,Austria,FALSE,England,1908-06-06
Austria,Germany,3,2,Friendly,Vienna,Austria,FALSE,Austria,1908-06-07
Austria,England,1,11,Friendly,Vienna,Austria,FALSE,England,1908-06-08
Hungary,England,0,7,Friendly,Budapest,Hungary,FALSE,England,1908-06-10
Czechoslovakia,England,0,4,Friendly,Prague,Bohemia,FALSE,England,1908-06-13
Sweden,Norway,11,3,Friendly,Gothenburg,Sweden,FALSE,Sweden,1908-07-12
Uruguay,Argentina,2,2,Copa Lipton,Montevideo,Uruguay,FALSE,DRAW,1908-08-15
Argentina,Uruguay,2,1,Copa Newton,Buenos Aires,Argentina,FALSE,Argentina,1908-09-13
Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE,Uruguay,1908-10-04
Netherlands,Sweden,5,3,Friendly,The Hague,Netherlands,FALSE,Netherlands,1908-10-25
Belgium,Sweden,2,1,Friendly,Brussels,Belgium,FALSE,Belgium,1908-10-26
Hungary,Austria,5,3,Friendly,Budapest,Hungary,FALSE,Hungary,1908-11-01
England,Northern Ireland,4,0,British Championship,Bradford,England,FALSE,England,1909-02-13
Wales,Scotland,3,2,British Championship,Wrexham,Wales,FALSE,Wales,1909-03-01
England,Wales,2,0,British Championship,Nottingham,England,FALSE,England,1909-03-15
Scotland,Northern Ireland,5,0,British Championship,Glasgow,Scotland,FALSE,Scotland,1909-03-15
Northern Ireland,Wales,2,3,British Championship,Belfast,Republic of Ireland,FALSE,Wales,1909-03-20
Belgium,Netherlands,1,4,Friendly,Antwerp,Belgium,FALSE,Netherlands,1909-03-21
England,Scotland,2,0,British Championship,London,England,FALSE,England,1909-04-03
Germany,Switzerland,1,0,Friendly,Karlsruhe,Germany,FALSE,Germany,1909-04-04
Hungary,Germany,3,3,Friendly,Budapest,Hungary,FALSE,DRAW,1909-04-04
Netherlands,Belgium,4,1,Friendly,Rotterdam,Netherlands,FALSE,Netherlands,1909-04-25
Austria,Hungary,3,4,Friendly,Vienna,Austria,FALSE,Hungary,1909-05-02
Belgium,France,5,2,Friendly,Brussels,Belgium,FALSE,Belgium,1909-05-09
Hungary,England,2,4,Friendly,Budapest,Hungary,FALSE,England,1909-05-29
Hungary,Austria,1,1,Friendly,Budapest,Hungary,FALSE,DRAW,1909-05-30
Hungary,England,2,8,Friendly,Budapest,Hungary,FALSE,England,1909-05-31
Austria,England,1,8,Friendly,Vienna,Austria,FALSE,England,1909-06-01
Argentina,Uruguay,2,1,Copa Lipton,Buenos Aires,Argentina,FALSE,Argentina,1909-08-15
Uruguay,Argentina,2,2,Copa Newton,Montevideo,Uruguay,FALSE,DRAW,1909-09-19
Argentina,Uruguay,3,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE,Argentina,1909-10-10
Hungary,Austria,2,2,Friendly,Budapest,Hungary,FALSE,DRAW,1909-11-07
Northern Ireland,England,1,1,British Championship,Belfast,Republic of Ireland,FALSE,DRAW,1910-02-12
Scotland,Wales,1,0,British Championship,Kilmarnock,Scotland,FALSE,Scotland,1910-03-05
Belgium,Netherlands,3,2,Friendly,Antwerp,Belgium,FALSE,Belgium,1910-03-13
Wales,England,0,1,British Championship,Cardiff,Wales,FALSE,England,1910-03-14
Northern Ireland,Scotland,1,0,British Championship,Belfast,Republic of Ireland,FALSE,Northern Ireland,1910-03-19
Scotland,England,2,0,British Championship,Glasgow,Scotland,FALSE,Scotland,1910-04-02
France,Belgium,0,4,Friendly,Gentilly,France,FALSE,Belgium,1910-04-03
Switzerland,Germany,2,3,Friendly,Basel,Switzerland,FALSE,Germany,1910-04-03
Netherlands,Belgium,7,0,Friendly,Haarlem,Netherlands,FALSE,Netherlands,1910-04-10
Wales,Northern Ireland,4,1,British Championship,Wrexham,Wales,FALSE,Wales,1910-04-11
Netherlands,Germany,4,2,Friendly,Arnhem,Netherlands,FALSE,Netherlands,1910-04-24
Austria,Hungary,2,1,Friendly,Vienna,Austria,FALSE,Austria,1910-05-01
Italy,France,6,2,Friendly,Milan,Italy,FALSE,Italy,1910-05-15
Germany,Belgium,0,3,Friendly,Duisburg,Germany,FALSE,Belgium,1910-05-16
Hungary,Italy,6,1,Friendly,Budapest,Hungary,FALSE,Hungary,1910-05-26
Argentina,Chile,3,1,Friendly,Buenos Aires,Argentina,FALSE,Argentina,1910-05-27
Chile,Uruguay,0,3,Friendly,Buenos Aires,Argentina,TRUE,Uruguay,1910-05-29
Argentina,Chile,5,1,Friendly,Buenos Aires,Argentina,FALSE,Argentina,1910-06-05
Argentina,Uruguay,4,1,Friendly,Buenos Aires,Argentina,FALSE,Argentina,1910-06-12
Uruguay,Argentina,3,1,Copa Lipton,Montevideo,Uruguay,FALSE,Uruguay,1910-08-15
Chile,Argentina,0,3,Friendly,Viña del Mar,Chile,FALSE,Argentina,1910-09-11
Norway,Sweden,0,4,Friendly,Kristiania,Norway,FALSE,Sweden,1910-09-11
Germany,Netherlands,1,2,Friendly,Kleve,Germany,FALSE,Netherlands,1910-10-16
Hungary,Austria,3,0,Friendly,Budapest,Hungary,FALSE,Hungary,1910-11-06
Argentina,Uruguay,1,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE,DRAW,1910-11-13
Argentina,Uruguay,2,6,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE,Uruguay,1910-11-27
France,Hungary,0,3,Friendly,Maisons-Alfort,France,FALSE,Hungary,1911-01-01
Italy,Hungary,0,1,Friendly,Milan,Italy,FALSE,Hungary,1911-01-06
Switzerland,Hungary,2,0,Friendly,Zürich,Switzerland,FALSE,Switzerland,1911-01-08
Northern Ireland,Wales,1,2,British Championship,Belfast,Republic of Ireland,FALSE,Wales,1911-01-28
England,Northern Ireland,2,1,British Championship,Derby,England,FALSE,England,1911-02-11
Wales,Scotland,2,2,British Championship,Cardiff,Wales,FALSE,DRAW,1911-03-06
England,Wales,3,0,British Championship,London,England,FALSE,England,1911-03-13
Scotland,Northern Ireland,2,0,British Championship,Glasgow,Scotland,FALSE,Scotland,1911-03-18
Belgium,Netherlands,1,5,Friendly,Antwerp,Belgium,FALSE,Netherlands,1911-03-19
Germany,Switzerland,6,2,Friendly,Stuttgart,Germany,FALSE,Germany,1911-03-26
England,Scotland,1,1,British Championship,Liverpool,England,FALSE,DRAW,1911-04-01
Netherlands,Belgium,3,1,Friendly,Dordrecht,Netherlands,FALSE,Netherlands,1911-04-02
France,Italy,2,2,Friendly,Saint-Ouen,France,FALSE,DRAW,1911-04-09
Belgium,Germany,2,1,Friendly,Liège,Belgium,FALSE,Belgium,1911-04-23
Switzerland,France,5,2,Friendly,Geneva,Switzerland,FALSE,Switzerland,1911-04-23
Belgium,France,7,1,Friendly,Uccle,Belgium,FALSE,Belgium,1911-04-30
Austria,Hungary,3,1,Friendly,Vienna,Austria,FALSE,Austria,1911-05-07
Italy,Switzerland,2,2,Friendly,Milan,Italy,FALSE,DRAW,1911-05-07
Switzerland,Italy,3,0,Friendly,La Chaux-de-Fonds,Switzerland,FALSE,Switzerland,1911-05-21
Sweden,Germany,2,4,Friendly,Solna,Sweden,FALSE,Germany,1911-06-18
Argentina,Uruguay,0,2,Copa Lipton,Buenos Aires,Argentina,FALSE,Uruguay,1911-08-15
Sweden,Norway,4,1,Friendly,Solna,Sweden,FALSE,Sweden,1911-09-17
Uruguay,Argentina,2,3,Copa Newton,Montevideo,Uruguay,FALSE,Argentina,1911-09-17
Uruguay,Argentina,1,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay,FALSE,DRAW,1911-10-08
Germany,Austria,1,2,Friendly,Dresden,Germany,FALSE,Austria,1911-10-09
Argentina,Uruguay,2,0,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE,Argentina,1911-10-22
Finland,Sweden,2,5,Friendly,Helsinki,Finland,FALSE,Sweden,1911-10-22
Germany,Sweden,1,3,Friendly,Hamburg,Germany,FALSE,Sweden,1911-10-29
Hungary,Switzerland,9,0,Friendly,Budapest,Hungary,FALSE,Hungary,1911-10-29
Luxembourg,France,1,4,Friendly,Luxembourg,Luxembourg,FALSE,France,1911-10-29
Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,FALSE,Uruguay,1911-10-29
Hungary,Austria,2,0,Friendly,Budapest,Hungary,FALSE,Hungary,1911-11-05
Germany,Hungary,1,4,Friendly,Munich,Germany,FALSE,Hungary,1911-12-17
France,Belgium,1,1,Friendly,Saint-Ouen,France,FALSE,DRAW,1912-01-28
Northern Ireland,England,1,6,British Championship,Dublin,Republic of Ireland,FALSE,England,1912-02-10
France,Catalonia,7,0,Friendly,Paris,France,FALSE,France,1912-02-10
France,Switzerland,4,1,Friendly,Saint-Ouen,France,FALSE,France,1912-02-18
Belgium,Switzerland,9,2,Friendly,Antwerp,Belgium,FALSE,Belgium,1912-02-20
Scotland,Wales,1,0,British Championship,Edinburgh,Scotland,FALSE,Scotland,1912-03-02
Belgium,Netherlands,1,2,Friendly,Antwerp,Belgium,FALSE,Netherlands,1912-03-10
Wales,England,0,2,British Championship,Wrexham,Wales,FALSE,England,1912-03-11
Northern Ireland,Scotland,1,4,British Championship,Belfast,Republic of Ireland,FALSE,Scotland,1912-03-16
Italy,France,3,4,Friendly,Turin,Italy,FALSE,France,1912-03-17
Scotland,England,1,1,British Championship,Glasgow,Scotland,FALSE,DRAW,1912-03-23
Netherlands,Germany,5,5,Friendly,Zwolle,Netherlands,FALSE,DRAW,1912-03-24
Wales,Northern Ireland,2,3,British Championship,Cardiff,Wales,FALSE,Northern Ireland,1912-04-13
Hungary,Germany,4,4,Friendly,Budapest,Hungary,FALSE,DRAW,1912-04-14
Netherlands,Belgium,4,3,Friendly,Dordrecht,Netherlands,FALSE,Netherlands,1912-04-28
Austria,Hungary,1,1,Friendly,Vienna,Austria,FALSE,DRAW,1912-05-05
Switzerland,Germany,1,2,Friendly,St. Gallen,Switzerland,FALSE,Germany,1912-05-05
Norway,Sweden,1,2,Friendly,Kristiania,Norway,FALSE,Sweden,1912-06-16
Sweden,Hungary,2,2,Friendly,Gothenburg,Sweden,FALSE,DRAW,1912-06-20
Norway,Hungary,0,6,Friendly,Kristiania,Norway,FALSE,Hungary,1912-06-23
Sweden,Finland,7,1,Friendly,Solna,Sweden,FALSE,Sweden,1912-06-27
Austria,Italy,5,1,Friendly,Stockholm,Sweden,TRUE,Austria,1912-06-30
Austria,Norway,1,1,Friendly,Stockholm,Sweden,TRUE,DRAW,1912-07-01
Hungary,Austria,3,0,Friendly,Stockholm,Sweden,TRUE,Hungary,1912-07-03
Norway,Russia,2,1,Friendly,Stockholm,Sweden,TRUE,Norway,1912-07-03
Netherlands,Austria,3,1,Friendly,Stockholm,Sweden,TRUE,Netherlands,1912-07-05
Russia,Hungary,0,9,Friendly,Moscow,Russia,FALSE,Hungary,1912-07-12
Russia,Hungary,0,12,Friendly,Moscow,Russia,FALSE,Hungary,1912-07-14
Uruguay,Argentina,2,0,Copa Lipton,Montevideo,Uruguay,FALSE,Uruguay,1912-08-15
Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,FALSE,Uruguay,1912-08-25
Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE,Uruguay,1912-09-22
Argentina,Uruguay,3,3,Copa Newton,Avellaneda,Argentina,FALSE,DRAW,1912-10-06
Denmark,Germany,3,1,Friendly,Copenhagen,Denmark,FALSE,Denmark,1912-10-06
Hungary,Austria,4,0,Friendly,Budapest,Hungary,FALSE,Hungary,1912-11-03
Sweden,Norway,4,2,Friendly,Gothenburg,Sweden,FALSE,Sweden,1912-11-03
Germany,Netherlands,2,3,Friendly,Leipzig,Germany,FALSE,Netherlands,1912-11-17
Uruguay,Argentina,1,3,Friendly,Montevideo,Uruguay,FALSE,Argentina,1912-12-01
Catalonia,France,1,0,Friendly,Barcelona,Spain,FALSE,Catalonia,1912-12-01
Italy,Austria,1,3,Friendly,Genoa,Italy,FALSE,Austria,1912-12-22
France,Italy,1,0,Friendly,Saint-Ouen,France,FALSE,France,1913-01-12
Northern Ireland,Wales,0,1,British Championship,Belfast,Republic of Ireland,FALSE,Wales,1913-01-18
Northern Ireland,England,2,1,British Championship,Belfast,Republic of Ireland,FALSE,Northern Ireland,1913-02-15
Belgium,France,3,0,Friendly,Brussels,Belgium,FALSE,Belgium,1913-02-16
Wales,Scotland,0,0,British Championship,Wrexham,Wales,FALSE,DRAW,1913-03-03
Belgium,Netherlands,3,3,Friendly,Antwerp,Belgium,FALSE,DRAW,1913-03-09
Switzerland,France,1,4,Friendly,Geneva,Switzerland,FALSE,France,1913-03-09
Northern Ireland,Scotland,1,2,British Championship,Dublin,Republic of Ireland,FALSE,Scotland,1913-03-15
England,Wales,4,3,British Championship,Bristol,England,FALSE,England,1913-03-17
England,Scotland,1,0,British Championship,London,England,FALSE,England,1913-04-05
France,Luxembourg,8,0,Friendly,Saint-Ouen,France,FALSE,France,1913-04-20
Netherlands,Belgium,2,4,Friendly,Zwolle,Netherlands,FALSE,Belgium,1913-04-20
Austria,Hungary,1,4,Friendly,Vienna,Austria,FALSE,Hungary,1913-04-27
Italy,Belgium,1,0,Friendly,Turin,Italy,FALSE,Italy,1913-05-01
Russia,Sweden,1,4,Friendly,Moscow,Russia,FALSE,Sweden,1913-05-04
Switzerland,Belgium,1,2,Friendly,Basel,Switzerland,FALSE,Belgium,1913-05-04
Germany,Switzerland,1,2,Friendly,Freiburg,Germany,FALSE,Switzerland,1913-05-18
Hungary,Sweden,2,0,Friendly,Budapest,Hungary,FALSE,Hungary,1913-05-18
Denmark,Sweden,8,0,Friendly,Copenhagen,Denmark,FALSE,Denmark,1913-05-25
Sweden,Norway,9,0,Friendly,Stockholm,Sweden,FALSE,Sweden,1913-06-08
Argentina,Uruguay,1,1,Friendly,Avellaneda,Argentina,FALSE,DRAW,1913-06-15
